step,wall_time,value
500,1754815777.7189898,193.0
1000,1754815781.78149,150.0
1500,1754815785.752015,141.0
2000,1754815787.4546173,162.0
2500,1754815789.908438,169.0
3000,1754815791.1537178,187.0
3500,1754815792.2656791,204.0
4000,1754815794.2225149,209.0
4500,1754815797.1941729,203.0
5000,1754815801.73869,187.0
5500,1754815803.7120047,192.0
6000,1754815804.566428,203.0
6500,1754815806.043981,210.0
7000,1754815808.4550407,210.0
7500,1754815809.288086,219.0
8000,1754815810.2411213,227.0
8500,1754815812.1589453,229.0
9000,1754815814.4751062,228.0
9500,1754815817.1841645,225.0
10000,1754815821.6661158,214.0
10500,1754815823.4930458,217.0
11000,1754815825.5205357,218.0
11500,1754815827.7688663,218.0
12000,1754815828.9480162,222.0
12500,1754815829.9742558,227.0
13000,1754815832.0105855,228.0
13500,1754815833.767929,230.0
14000,1754815834.881055,234.0
14500,1754815838.4988887,228.0
15000,1754815842.254838,223.0
15500,1754815844.838626,222.0
16000,1754815847.9660952,219.0
16500,1754815852.8077586,212.0
17000,1754815854.6951,213.0
17500,1754815855.5402942,217.0
18000,1754815856.4133859,221.0
18500,1754815858.5826678,221.0
19000,1754815860.5577345,222.0
19500,1754815861.8179123,224.0
20000,1754815870.2104018,210.0
20500,1754815871.0371826,213.0
21000,1754815874.2240274,211.0
21500,1754815878.1831183,208.0
22000,1754815880.1475205,209.0
22500,1754815883.1805487,208.0
23000,1754815887.0052867,205.0
23500,1754815890.2960098,204.0
24000,1754815891.593854,206.0
24500,1754815893.5078073,206.0
25000,1754815895.9626386,206.0
25500,1754815897.8555644,207.0
26000,1754815901.123803,206.0
26500,1754815902.7578866,207.0
27000,1754815904.696579,208.0
27500,1754815906.1494184,209.0
28000,1754815906.9614003,212.0
28500,1754815907.7552927,214.0
29000,1754815909.2005796,216.0
29500,1754815912.0843065,215.0
30000,1754815917.8804276,210.0
30500,1754815920.1069129,210.0
31000,1754815921.1670828,212.0
31500,1754815923.0381093,212.0
32000,1754815926.3441694,211.0
32500,1754815928.7704465,211.0
33000,1754815929.6167164,213.0
33500,1754815930.6244977,215.0
34000,1754815934.0290444,213.0
34500,1754815937.2049375,212.0
35000,1754815940.0347393,212.0
35500,1754815943.635494,210.0
36000,1754815946.1617436,210.0
36500,1754815948.9661806,209.0
37000,1754815950.2667189,211.0
37500,1754815952.8476243,211.0
38000,1754815954.5462651,211.0
38500,1754815956.8821065,211.0
39000,1754815959.3143518,211.0
39500,1754815960.2316403,213.0
40000,1754815967.4740646,207.0
40500,1754815970.3994455,207.0
41000,1754815972.8334692,207.0
41500,1754815973.8545203,208.0
42000,1754815975.6747327,209.0
42500,1754815978.6537387,208.0
43000,1754815982.2127104,207.0
43500,1754815984.6479545,207.0
44000,1754815988.2101822,206.0
44500,1754815989.321223,207.0
45000,1754815992.294458,207.0
45500,1754815995.3640027,206.0
46000,1754815997.308248,207.0
46500,1754815999.9802918,206.0
47000,1754816002.1586308,207.0
47500,1754816003.042946,208.0
48000,1754816003.8605292,209.0
48500,1754816005.093607,210.0
49000,1754816007.3248231,211.0
49500,1754816008.3663054,212.0
50000,1754816013.942202,209.0
50500,1754816015.7136433,209.0
51000,1754816017.8515165,210.0
51500,1754816018.731573,211.0
52000,1754816019.4881334,212.0
52500,1754816020.5619338,213.0
53000,1754816023.0733635,213.0
53500,1754816024.9330597,214.0
54000,1754816026.0059938,215.0
54500,1754816028.4254336,215.0
55000,1754816030.7519374,215.0
55500,1754816031.6943498,216.0
56000,1754816034.3929877,215.0
56500,1754816036.654196,216.0
57000,1754816037.6010108,217.0
57500,1754816038.4140663,218.0
58000,1754816041.434044,217.0
58500,1754816043.3533268,218.0
59000,1754816044.1130447,219.0
59500,1754816044.895028,220.0
60000,1754816054.2924726,214.0
60500,1754816055.3263798,215.0
61000,1754816056.1256633,217.0
61500,1754816057.1089435,218.0
62000,1754816058.9922411,218.0
62500,1754816060.8104732,218.0
63000,1754816061.676123,219.0
63500,1754816062.5195663,220.0
64000,1754816064.309685,221.0
64500,1754816066.3182425,221.0
65000,1754816067.0973675,222.0
65500,1754816067.9898114,223.0
66000,1754816069.2323647,224.0
66500,1754816071.0700579,224.0
67000,1754816073.1414106,224.0
67500,1754816074.537248,225.0
68000,1754816075.2954323,226.0
68500,1754816076.0861459,227.0
69000,1754816079.265985,226.0
69500,1754816082.0699193,226.0
70000,1754816086.8882365,224.0
70500,1754816088.4347222,225.0
71000,1754816089.3159626,225.0
71500,1754816090.5315983,226.0
72000,1754816093.17369,226.0
72500,1754816095.9034715,226.0
73000,1754816098.3590112,225.0
73500,1754816099.3535109,226.0
74000,1754816100.1735747,227.0
74500,1754816101.7756274,228.0
75000,1754816103.8096776,228.0
75500,1754816104.872505,228.0
76000,1754816105.7197287,229.0
76500,1754816107.7680142,229.0
77000,1754816110.0532205,229.0
77500,1754816112.1829174,229.0
78000,1754816113.4603271,230.0
78500,1754816115.5691066,230.0
79000,1754816117.9884079,230.0
79500,1754816121.446912,229.0
80000,1754816127.3820386,227.0
80500,1754816128.711616,227.0
81000,1754816129.8479893,228.0
81500,1754816131.7015088,228.0
82000,1754816134.1293204,228.0
82500,1754816136.4271898,228.0
83000,1754816137.7435148,228.0
83500,1754816138.7696881,229.0
84000,1754816140.0100262,230.0
84500,1754816142.5282567,229.0
85000,1754816145.139188,229.0
85500,1754816146.0356615,230.0
86000,1754816146.8624318,231.0
86500,1754816148.1691203,231.0
87000,1754816150.3499289,231.0
87500,1754816152.6579962,231.0
88000,1754816154.5169516,231.0
88500,1754816155.4545047,232.0
89000,1754816156.3686402,233.0
89500,1754816158.6143374,233.0
90000,1754816167.1653302,229.0
90500,1754816170.3423407,228.0
91000,1754816173.0483456,228.0
91500,1754816175.2642176,228.0
92000,1754816178.5880196,228.0
92500,1754816182.4272912,227.0
93000,1754816185.0738506,226.0
93500,1754816188.5032694,226.0
94000,1754816190.5449603,226.0
94500,1754816193.0869277,226.0
95000,1754816195.8312395,225.0
95500,1754816197.7399454,225.0
96000,1754816200.4423451,225.0
96500,1754816202.180551,225.0
97000,1754816204.8061802,225.0
97500,1754816205.815903,226.0
98000,1754816206.9302938,226.0
98500,1754816209.9533374,226.0
99000,1754816213.5435195,225.0
99500,1754816219.0116925,224.0
100000,1754816227.0101917,221.0
100500,1754816229.223955,221.0
101000,1754816232.1655812,220.0
101500,1754816234.853488,220.0
102000,1754816236.5286682,221.0
102500,1754816238.6199534,221.0
103000,1754816239.6983817,221.0
103500,1754816240.459746,222.0
104000,1754816241.2501702,223.0
104500,1754816242.929656,223.0
105000,1754816244.8279521,223.0
105500,1754816245.7281675,224.0
106000,1754816246.6268694,224.0
106500,1754816247.8810909,225.0
107000,1754816249.9210637,225.0
107500,1754816252.0335846,225.0
108000,1754816253.411205,225.0
108500,1754816254.350029,226.0
109000,1754816255.2429605,227.0
109500,1754816257.813366,226.0
110000,1754816262.584208,225.0
110500,1754816264.664822,225.0
111000,1754816266.1674366,226.0
111500,1754816269.0512326,225.0
112000,1754816270.6372108,226.0
112500,1754816271.7480137,226.0
113000,1754816275.235808,225.0
113500,1754816278.7703834,225.0
114000,1754816282.458699,224.0
114500,1754816285.7018054,224.0
115000,1754816288.6078236,223.0
115500,1754816290.7038276,224.0
116000,1754816293.7127104,223.0
116500,1754816295.9636853,223.0
117000,1754816298.386548,223.0
117500,1754816300.2037892,223.0
118000,1754816301.0948946,224.0
118500,1754816301.9809349,224.0
119000,1754816303.9403298,225.0
119500,1754816306.1019604,225.0
120000,1754816311.0006459,223.0
120500,1754816312.5405545,224.0
121000,1754816313.3740425,224.0
121500,1754816314.278721,225.0
122000,1754816315.6924224,225.0
122500,1754816317.6793027,225.0
123000,1754816319.4136205,225.0
123500,1754816320.3396606,226.0
124000,1754816322.163077,226.0
124500,1754816324.1773937,226.0
125000,1754816327.4122949,226.0
125500,1754816328.8390946,226.0
126000,1754816329.6134655,227.0
126500,1754816330.388737,227.0
127000,1754816331.7373362,228.0
127500,1754816333.6258378,228.0
128000,1754816334.7299068,228.0
128500,1754816335.4868286,229.0
129000,1754816336.269801,229.0
129500,1754816337.876213,230.0
130000,1754816342.1117947,229.0
130500,1754816343.7654438,229.0
131000,1754816345.9408827,229.0
131500,1754816346.9008734,229.0
132000,1754816348.8953717,230.0
132500,1754816350.5491323,230.0
133000,1754816351.8335035,230.0
133500,1754816355.2885346,230.0
134000,1754816356.7640152,230.0
134500,1754816357.9889822,230.0
135000,1754816360.4384432,230.0
135500,1754816362.7139363,230.0
136000,1754816363.9252496,230.0
136500,1754816366.606417,230.0
137000,1754816368.267374,230.0
137500,1754816370.8295586,230.0
138000,1754816373.1390004,230.0
138500,1754816373.968383,231.0
139000,1754816374.8896396,231.0
139500,1754816376.0836341,232.0
140000,1754816380.923091,231.0
140500,1754816382.627217,231.0
141000,1754816384.5007918,231.0
141500,1754816385.2894192,231.0
142000,1754816386.052465,232.0
142500,1754816386.810608,232.0
143000,1754816388.6955667,233.0
143500,1754816390.3620734,233.0
144000,1754816391.2216194,233.0
144500,1754816392.0538397,234.0
145000,1754816393.1394317,234.0
145500,1754816394.86292,234.0
146000,1754816396.3481345,235.0
146500,1754816397.20579,235.0
147000,1754816397.964094,236.0
147500,1754816399.7174532,236.0
148000,1754816402.095119,236.0
148500,1754816405.0633295,235.0
149000,1754816408.163064,235.0
149500,1754816410.5756052,235.0
150000,1754816415.2061348,234.0
150500,1754816417.446947,234.0
151000,1754816418.4121418,234.0
151500,1754816419.1796298,235.0
152000,1754816420.1388586,235.0
152500,1754816422.1778185,235.0
153000,1754816423.802578,235.0
153500,1754816424.5662334,236.0
154000,1754816425.3745623,236.0
154500,1754816426.569867,237.0
155000,1754816428.3600807,237.0
155500,1754816431.0254774,237.0
156000,1754816433.1275241,237.0
156500,1754816433.8776274,237.0
157000,1754816434.6762722,238.0
157500,1754816436.0341196,238.0
158000,1754816438.089946,238.0
158500,1754816439.1456838,238.0
159000,1754816439.917558,239.0
159500,1754816441.6282432,239.0
160000,1754816448.0408525,237.0
160500,1754816449.1565216,238.0
161000,1754816451.3492846,238.0
161500,1754816453.4863575,238.0
162000,1754816454.4702382,238.0
162500,1754816456.4256482,238.0
163000,1754816458.5819302,238.0
163500,1754816460.328634,238.0
164000,1754816461.1768527,239.0
164500,1754816462.0696642,239.0
165000,1754816463.5008209,239.0
165500,1754816465.5547776,239.0
166000,1754816467.2412312,239.0
166500,1754816468.075368,240.0
167000,1754816468.898554,240.0
167500,1754816471.6357756,240.0
168000,1754816474.0080028,240.0
168500,1754816475.4594898,240.0
169000,1754816476.251364,241.0
169500,1754816477.1020975,241.0
170000,1754816483.13447,240.0
170500,1754816483.9940946,240.0
171000,1754816486.1314273,240.0
171500,1754816488.5804229,240.0
172000,1754816490.7014298,240.0
172500,1754816491.778459,240.0
173000,1754816492.7846267,241.0
173500,1754816494.130753,241.0
174000,1754816496.7531996,241.0
174500,1754816499.785367,240.0
175000,1754816501.743953,240.0
175500,1754816502.5658176,241.0
176000,1754816503.554314,241.0
176500,1754816505.799577,241.0
177000,1754816508.8025134,241.0
177500,1754816511.621193,241.0
178000,1754816512.8187666,241.0
178500,1754816515.1204662,241.0
179000,1754816516.905388,241.0
179500,1754816517.8509445,241.0
180000,1754816523.4263797,240.0
180500,1754816524.703157,240.0
181000,1754816526.965171,240.0
181500,1754816529.7199705,240.0
182000,1754816530.7604914,240.0
182500,1754816531.5756748,241.0
183000,1754816532.711909,241.0
183500,1754816534.830114,241.0
184000,1754816536.2802508,241.0
184500,1754816537.5096908,242.0
185000,1754816539.474257,242.0
185500,1754816541.2349992,242.0
186000,1754816542.2936451,242.0
186500,1754816543.0862179,242.0
187000,1754816544.8536224,242.0
187500,1754816547.4320927,242.0
188000,1754816549.3422341,242.0
188500,1754816550.2971358,243.0
189000,1754816551.1378632,243.0
189500,1754816552.2525823,243.0
190000,1754816558.193,242.0
190500,1754816559.454661,242.0
191000,1754816561.233653,242.0
191500,1754816562.8452168,243.0
192000,1754816563.7397175,243.0
192500,1754816564.6766865,243.0
193000,1754816567.2921839,243.0
193500,1754816569.6419322,243.0
194000,1754816570.9592314,243.0
194500,1754816571.7245426,244.0
195000,1754816573.6029294,244.0
195500,1754816575.5506592,244.0
196000,1754816577.3353047,244.0
196500,1754816578.1197271,244.0
197000,1754816579.0084207,245.0
197500,1754816580.4538653,245.0
198000,1754816582.1990294,245.0
198500,1754816583.9362001,245.0
199000,1754816584.7097816,245.0
199500,1754816585.5029871,246.0
200000,1754816590.561749,245.0
200500,1754816591.3455856,245.0
201000,1754816592.408075,245.0
201500,1754816594.1681654,246.0
202000,1754816595.6630507,246.0
202500,1754816596.4495387,246.0
203000,1754816597.2143831,246.0
203500,1754816598.5088778,247.0
204000,1754816600.3363907,247.0
204500,1754816601.5607586,247.0
205000,1754816602.3615115,247.0
205500,1754816603.1225746,248.0
206000,1754816604.6173952,248.0
206500,1754816606.45835,248.0
207000,1754816608.5496645,248.0
207500,1754816609.6472,248.0
208000,1754816610.4050813,249.0
208500,1754816611.1745644,249.0
209000,1754816612.9785376,249.0
209500,1754816614.7815127,249.0
