step,wall_time,value
500,1754814792.9609504,0.06760123372077942
1000,1754814794.1401787,9.078380571736488e-06
1500,1754814795.8447304,0.00173898262437433
2000,1754814798.282925,0.0025634116027504206
2500,1754814799.4490817,0.00026902928948402405
3000,1754814800.3362985,0.37700629234313965
3500,1754814802.6960027,0.03210211917757988
4000,1754814804.6893833,0.0027471904177218676
4500,1754814806.0034032,1.1910693764605185e-08
5000,1754814809.5574255,8.918170351535082e-05
5500,1754814810.8058982,2.223903038611752e-06
6000,1754814811.7850716,8.530593186151236e-05
6500,1754814813.6642876,0.0016942613292485476
7000,1754814816.0176532,0.005242266692221165
7500,1754814817.1172798,0.002369794063270092
8000,1754814818.260223,0.0015627043321728706
8500,1754814820.0558012,0.0006521890172734857
9000,1754814821.7638907,0.2338944673538208
9500,1754814822.7028234,0.0029031136073172092
10000,1754814827.8832533,0.007176152430474758
10500,1754814828.7587638,1.8469511076091294e-07
11000,1754814830.2901194,0.00020456519268918782
11500,1754814832.1587296,0.01713758334517479
12000,1754814833.4182377,11.605314254760742
12500,1754814834.2534387,0.0008457144722342491
13000,1754814835.5356157,3.6829521656036377
13500,1754814837.5088549,0.0015930425142869353
14000,1754814838.7732196,0.015493728220462799
14500,1754814839.533494,1.2400957345962524
15000,1754814840.3411536,0.00011737955355783924
15500,1754814841.8558085,0.0003211329167243093
16000,1754814843.7842908,0.004402267746627331
16500,1754814846.0102503,0.00021775094501208514
17000,1754814848.6926513,0.00027676820172928274
17500,1754814849.6681774,0.014481337741017342
18000,1754814850.6865306,4.170891406829469e-05
18500,1754814852.93448,4.339012775744777e-06
19000,1754814854.595405,0.008312606252729893
19500,1754814855.4101286,0.053870975971221924
20000,1754814860.616662,0.0028574946336448193
20500,1754814861.414724,0.0007447582320310175
21000,1754814862.77834,0.024612756446003914
21500,1754814866.103634,0.012793675065040588
22000,1754814867.764261,21.41031837463379
22500,1754814869.0512822,0.0009143603965640068
23000,1754814871.8318577,0.9590657353401184
23500,1754814874.9318314,0.025592148303985596
24000,1754814877.4238596,7.177273750305176
24500,1754814878.4246683,0.0008316235616803169
25000,1754814879.3869243,2.874556303024292
25500,1754814882.1233757,1.3155314922332764
26000,1754814883.6027224,2.469024658203125
26500,1754814884.5566642,0.061056315898895264
27000,1754814886.5714357,0.0761994868516922
27500,1754814889.107094,7.368499755859375
28000,1754814890.6521878,0.005932576023042202
28500,1754814891.5317163,0.014336245134472847
29000,1754814893.1469316,0.1280905306339264
29500,1754814895.6070294,2.9751899242401123
30000,1754814901.4055727,12.224536895751953
30500,1754814902.505483,0.6001037359237671
31000,1754814903.488801,1.4725347757339478
31500,1754814905.9315443,0.6979864835739136
32000,1754814907.6179187,0.43758001923561096
32500,1754814909.0048115,0.015115196816623211
33000,1754814911.5825608,0.06710046529769897
33500,1754814914.0174747,4.638004302978516
34000,1754814914.935483,42.85683822631836
34500,1754814916.0129588,0.08893470466136932
35000,1754814918.3852637,0.028680646792054176
35500,1754814920.678945,0.5866016745567322
36000,1754814921.5663772,9.724842071533203
36500,1754814922.4438972,0.3725660741329193
37000,1754814923.956934,0.007704459130764008
37500,1754814925.9573448,0.014113860204815865
38000,1754814927.0768883,2.0278728008270264
38500,1754814928.020119,0.011285178363323212
39000,1754814929.6372445,6.346463203430176
39500,1754814931.8567548,0.027933374047279358
40000,1754814938.2773485,0.017246315255761147
40500,1754814939.983878,0.19974562525749207
41000,1754814942.3056636,0.014751015231013298
41500,1754814943.290576,13.472335815429688
42000,1754814944.1954522,0.03688868507742882
42500,1754814945.910227,0.11857855319976807
43000,1754814948.2420244,0.08654878288507462
43500,1754814949.6990483,11.810920715332031
44000,1754814951.3582075,7.8528923988342285
44500,1754814953.4450002,0.023124776780605316
45000,1754814954.5633147,0.036174677312374115
45500,1754814955.3859658,12.719162940979004
46000,1754814956.6764524,22.52474594116211
46500,1754814958.909812,0.06708679348230362
47000,1754814961.72248,0.025653555989265442
47500,1754814963.0080538,4.941490173339844
48000,1754814964.0028594,0.00015935979899950325
48500,1754814966.0366187,0.007894222624599934
49000,1754814968.1055477,3.637413501739502
49500,1754814970.1411371,0.14118126034736633
50000,1754814980.5080872,0.0008037976804189384
50500,1754814984.113035,0.02251908741891384
51000,1754814987.8787425,0.5980255007743835
51500,1754814991.9030602,16.189167022705078
52000,1754814993.186193,0.224111869931221
52500,1754814995.2526786,0.08262382447719574
53000,1754814998.8199239,0.1427832543849945
53500,1754815002.166506,0.05172343924641609
54000,1754815004.1290212,0.0016297850525006652
54500,1754815007.760861,0.020352011546492577
55000,1754815010.530213,0.08546070009469986
55500,1754815013.3723183,31.226070404052734
56000,1754815017.9642599,31.169635772705078
56500,1754815019.4027572,0.06339884549379349
57000,1754815023.1283166,1.4274137020111084
57500,1754815025.5885239,0.007993636652827263
58000,1754815028.5700197,0.008465450257062912
58500,1754815031.204974,0.11073696613311768
59000,1754815033.8866193,0.11251708120107651
59500,1754815038.5449002,2.73516583442688
