step,wall_time,value
500,1754814792.9609504,-2.7748594284057617
1000,1754814794.1401787,-2.778000593185425
1500,1754814795.8447304,-2.783320903778076
2000,1754814798.282925,-2.781160593032837
2500,1754814799.4490817,-2.779895782470703
3000,1754814800.3362985,-2.7586116790771484
3500,1754814802.6960027,-2.734860897064209
4000,1754814804.6883838,-2.727780818939209
4500,1754814806.0034032,-2.723698616027832
5000,1754814809.5564234,-2.7341833114624023
5500,1754814810.8058982,-2.745875120162964
6000,1754814811.7850716,-2.7431578636169434
6500,1754814813.6642876,-2.755863666534424
7000,1754814816.0176532,-2.758188247680664
7500,1754814817.1172798,-2.7441258430480957
8000,1754814818.260223,-2.7420237064361572
8500,1754814820.0558012,-2.7467846870422363
9000,1754814821.7638907,-2.7228596210479736
9500,1754814822.7028234,-2.6830763816833496
10000,1754814827.8832533,-2.683655261993408
10500,1754814828.7587638,-2.6823434829711914
11000,1754814830.2901194,-2.674595832824707
11500,1754814832.1587296,-2.6713266372680664
12000,1754814833.4182377,-2.6532468795776367
12500,1754814834.2534387,-2.638010025024414
13000,1754814835.5356157,-2.632997751235962
13500,1754814837.5088549,-2.620060920715332
14000,1754814838.7732196,-2.608876943588257
14500,1754814839.533494,-2.597219467163086
15000,1754814840.3411536,-2.585787057876587
15500,1754814841.8558085,-2.588552951812744
16000,1754814843.7842908,-2.5937254428863525
16500,1754814846.0087416,-2.582305908203125
17000,1754814848.6926513,-2.5804667472839355
17500,1754814849.6681774,-2.587484359741211
18000,1754814850.6865306,-2.594041347503662
18500,1754814852.9214976,-2.600461483001709
19000,1754814854.595405,-2.612565040588379
19500,1754814855.4091315,-2.5951755046844482
20000,1754814860.616662,-2.5941996574401855
20500,1754814861.414724,-2.6052589416503906
21000,1754814862.77834,-2.604140281677246
21500,1754814866.103634,-2.59318208694458
22000,1754814867.764261,-2.5802721977233887
22500,1754814869.0512822,-2.5716700553894043
23000,1754814871.830862,-2.5718255043029785
23500,1754814874.9318314,-2.5641517639160156
24000,1754814877.4238596,-2.5557773113250732
24500,1754814878.4246683,-2.5476865768432617
25000,1754814879.3869243,-2.5460381507873535
25500,1754814882.1233757,-2.5689804553985596
26000,1754814883.6027224,-2.574368476867676
26500,1754814884.5566642,-2.5781383514404297
27000,1754814886.5714357,-2.585897922515869
27500,1754814889.107094,-2.569607973098755
28000,1754814890.6521878,-2.5664777755737305
28500,1754814891.5317163,-2.5531837940216064
29000,1754814893.1469316,-2.5539379119873047
29500,1754814895.6070294,-2.542494297027588
30000,1754814901.4055727,-2.5449090003967285
30500,1754814902.505483,-2.5379137992858887
31000,1754814903.488801,-2.549896717071533
31500,1754814905.9315443,-2.554962635040283
32000,1754814907.6179187,-2.546254873275757
32500,1754814909.0048115,-2.535698890686035
33000,1754814911.5825608,-2.534151077270508
33500,1754814914.0174747,-2.5420169830322266
34000,1754814914.935483,-2.5457682609558105
34500,1754814916.0119548,-2.5491268634796143
35000,1754814918.3852637,-2.552131175994873
35500,1754814920.678945,-2.559173822402954
36000,1754814921.5663772,-2.535935878753662
36500,1754814922.4438972,-2.5418405532836914
37000,1754814923.956934,-2.5217323303222656
37500,1754814925.9573448,-2.5247268676757812
38000,1754814927.0768883,-2.533327102661133
38500,1754814928.020119,-2.518871307373047
39000,1754814929.6362474,-2.515923500061035
39500,1754814931.8567548,-2.50673770904541
40000,1754814938.2773485,-2.490924119949341
40500,1754814939.983878,-2.482891082763672
41000,1754814942.3056636,-2.4796721935272217
41500,1754814943.290576,-2.473222255706787
42000,1754814944.1954522,-2.4735794067382812
42500,1754814945.910227,-2.4578137397766113
