Wall time,Step,Value
1754815777.7179017,500,0.0
1754815781.78149,1000,11.799966812133789
1754815785.752015,1500,7.999492168426514
1754815787.4531083,2000,5.999619483947754
1754815789.908438,2500,4.003708839416504
1754815791.1537178,3000,3.4799296855926514
1754815792.2656791,3500,3.3557584285736084
1754815794.2225149,4000,2.982896327972412
1754815797.1941729,4500,2.4425008296966553
1754815801.73869,5000,2.245530605316162
1754815803.7120047,5500,2.0727975368499756
1754815804.566428,6000,2.0500617027282715
1754815806.043981,6500,2.0084002017974854
1754815808.4550407,7000,1.8902589082717896
1754815809.288086,7500,1.8690475225448608
1754815810.2411213,8000,4.504092216491699
1754815812.1589453,8500,4.162574291229248
1754815814.4751062,9000,4.759448051452637
1754815817.1831572,9500,4.552515506744385
1754815821.6661158,10000,4.3636860847473145
1754815823.4930458,10500,5.064407825469971
1754815825.5205357,11000,4.886248588562012
1754815827.7688663,11500,5.102064609527588
1754815828.9480162,12000,5.978627681732178
1754815829.9742558,12500,5.580052852630615
1754815832.0105855,13000,5.407140254974365
1754815833.767929,13500,5.239766597747803
1754815834.881055,14000,5.191503524780273
1754815838.4988887,14500,5.212791442871094
1754815842.254838,15000,5.069507598876953
1754815844.838626,15500,5.177821159362793
1754815847.9660952,16000,5.090792179107666
1754815852.8077586,16500,4.930640697479248
1754815854.6951,17000,4.810380935668945
1754815855.539291,17500,4.695847988128662
1754815856.4133859,18000,4.586647987365723
1754815858.5826678,18500,4.383265972137451
1754815860.5577345,19000,4.290836811065674
1754815861.8179123,19500,4.19954252243042
1754815870.2104018,20000,4.1153082847595215
1754815871.0371826,20500,4.09248161315918
1754815874.222726,21000,4.174922466278076
1754815878.1831183,21500,5.5577569007873535
1754815880.1475205,22000,5.451071262359619
1754815883.1805487,22500,5.249179840087891
1754815887.0052867,23000,5.153740406036377
1754815890.2960098,23500,5.061709403991699
1754815891.593854,24000,5.001099109649658
1754815893.5078073,24500,6.532873153686523
1754815895.9626386,25000,8.164963722229004
1754815897.8555644,25500,8.347088813781738
1754815901.123803,26000,8.578316688537598
1754815902.7578866,26500,8.383174896240234
1754815904.696579,27000,8.443856239318848
1754815906.1494184,27500,8.463839530944824
1754815906.9614003,28000,10.030945777893066
1754815907.7552927,28500,12.083610534667969
1754815909.2005796,29000,12.158841133117676
1754815912.0843065,29500,11.987691879272461
1754815917.8804276,30000,11.878740310668945
1754815920.1069129,30500,16.134563446044922
1754815921.1670828,31000,18.602352142333984
1754815923.0366018,31500,19.20149803161621
1754815926.3441694,32000,20.643600463867188
1754815928.7704465,32500,20.640762329101562
1754815929.6167164,33000,21.158851623535156
1754815930.6244977,33500,22.45073890686035
1754815934.0290444,34000,22.22013282775879
1754815937.2049375,34500,23.63444709777832
1754815940.0347393,35000,25.760087966918945
1754815943.635494,35500,26.387603759765625
1754815946.1607482,36000,27.858224868774414
1754815948.9661806,36500,30.697479248046875
1754815950.2667189,37000,31.477977752685547
1754815952.8476243,37500,33.94563293457031
1754815954.5462651,38000,35.16598892211914
1754815956.8821065,38500,38.10074996948242
1754815959.3143518,39000,38.24329376220703
1754815960.2316403,39500,38.821903228759766
1754815967.4740646,40000,39.73302459716797
1754815970.3994455,40500,41.27717971801758
1754815972.8334692,41000,40.993412017822266
1754815973.8545203,41500,42.30044174194336
1754815975.6747327,42000,44.01963806152344
1754815978.6537387,42500,45.82937240600586
1754815982.2127104,43000,47.59770202636719
1754815984.6479545,43500,49.20899963378906
1754815988.2101822,44000,49.68073654174805
1754815989.321223,44500,52.42627716064453
1754815992.294458,45000,52.45982360839844
1754815995.3640027,45500,52.483951568603516
1754815997.308248,46000,52.700870513916016
1754815999.9802918,46500,52.71041488647461
1754816002.1586308,47000,53.07680130004883
1754816003.042946,47500,53.06106185913086
1754816003.8605292,48000,53.026832580566406
1754816005.093607,48500,53.35174560546875
1754816007.3248231,49000,53.92803955078125
1754816008.3663054,49500,53.715702056884766
1754816013.942202,50000,53.791324615478516
1754816015.7136433,50500,53.791954040527344
1754816017.8515165,51000,53.74071502685547
1754816018.731573,51500,53.9184455871582
1754816019.4881334,52000,54.01729202270508
1754816020.5619338,52500,54.938045501708984
1754816023.0733635,53000,56.023468017578125
1754816024.9330597,53500,55.75670623779297
1754816026.0059938,54000,55.8651008605957
1754816028.4254336,54500,56.715362548828125
1754816030.7519374,55000,56.71924591064453
1754816031.6943498,55500,59.113555908203125
1754816034.3929877,56000,59.1112060546875
1754816036.654196,56500,60.430599212646484
1754816037.6010108,57000,60.56171798706055
1754816038.4140663,57500,61.82267761230469
1754816041.434044,58000,62.038936614990234
1754816043.3533268,58500,64.55189514160156
1754816044.1130447,59000,65.49166107177734
1754816044.895028,59500,68.18730926513672
1754816054.2924726,60000,71.4116439819336
1754816055.3263798,60500,71.75777435302734
1754816056.1256633,61000,72.2754898071289
1754816057.1089435,61500,72.81623077392578
1754816058.9922411,62000,74.64691925048828
1754816060.8104732,62500,75.49156951904297
1754816061.676123,63000,77.42032623291016
1754816062.5195663,63500,79.25502014160156
1754816064.309685,64000,82.19599914550781
1754816066.3182425,64500,82.55908966064453
1754816067.0973675,65000,85.26394653320312
1754816067.9898114,65500,87.66500091552734
1754816069.2323647,66000,87.38478088378906
1754816071.0700579,66500,88.07047271728516
1754816073.1414106,67000,90.7102279663086
1754816074.537248,67500,91.80005645751953
1754816075.2954323,68000,93.99495697021484
1754816076.0861459,68500,94.55782318115234
1754816079.265985,69000,94.47515106201172
1754816082.0699193,69500,93.4275894165039
1754816086.8882365,70000,91.8360824584961
1754816088.4347222,70500,92.37064361572266
1754816089.3159626,71000,94.5896987915039
1754816090.5315983,71500,94.74432373046875
1754816093.17369,72000,96.30386352539062
1754816095.9034715,72500,92.75782775878906
1754816098.3590112,73000,93.35602569580078
1754816099.3535109,73500,92.34025573730469
1754816100.1735747,74000,92.79200744628906
1754816101.7756274,74500,94.8132553100586
1754816103.8096776,75000,95.00951385498047
1754816104.872505,75500,98.588134765625
1754816105.7197287,76000,99.24684143066406
1754816107.7680142,76500,99.36959838867188
1754816110.0522232,77000,99.62895202636719
1754816112.1829174,77500,98.23246765136719
1754816113.4603271,78000,97.44569396972656
1754816115.5691066,78500,99.12499237060547
1754816117.9884079,79000,97.97160339355469
1754816121.446912,79500,99.10389709472656
1754816127.3820386,80000,98.56543731689453
1754816128.711616,80500,98.46979522705078
1754816129.8479893,81000,101.45423889160156
1754816131.7015088,81500,100.92970275878906
1754816134.1293204,82000,100.27774810791016
1754816136.4271898,82500,99.73674011230469
1754816137.7435148,83000,101.25064086914062
1754816138.7696881,83500,99.91011810302734
1754816140.0100262,84000,98.46339416503906
1754816142.5282567,84500,99.38668823242188
1754816145.139188,85000,98.62861633300781
1754816146.0356615,85500,99.3094253540039
1754816146.8624318,86000,97.9754409790039
1754816148.1691203,86500,101.55781555175781
1754816150.3499289,87000,102.8341293334961
1754816152.6579962,87500,103.3375473022461
1754816154.5169516,88000,103.45768737792969
1754816155.4545047,88500,104.2625503540039
1754816156.3686402,89000,104.93390655517578
1754816158.6143374,89500,107.50931549072266
1754816167.1653302,90000,107.83963775634766
1754816170.3423407,90500,108.00106811523438
1754816173.0483456,91000,107.5289077758789
1754816175.2642176,91500,108.41028594970703
1754816178.5880196,92000,111.50288391113281
1754816182.4272912,92500,114.11506652832031
1754816185.0738506,93000,113.99085998535156
